name,slide_mean,slide_std,patient_mean,patient_std,n_folds
Fusion_Smart_ABMIL_Midnight_p4000_bs32_original_label_enc,0.6465474839768578,0.07396327724721956,0.6465474839768578,0.07396327724721956,5
Fusion_Smart_MeanMIL_Virchow_p100_bsFull_original_one_hot,0.6653581834775044,0.043345803054636776,0.6653581834775044,0.043345803054636776,5
WSI_MeanMIL_UNI_p100_bsFull_original_None,0.6580724210755823,0.04194309013052009,0.6580724210755823,0.04194309013052009,5
Fusion_Naive_TransMIL_UNI_p1000_bsFull_original_one_hot,0.6543296215081795,0.03834120550445793,0.6543296215081795,0.03834120550445793,5
EarlyEnsemble_WSI_TransMIL_VirchowMidnight_p1000_bsFull_binary_None,0.6253588346896513,0.053529381618571154,0.6253588346896513,0.053529381618571154,5
Fusion_Naive_MeanMIL_UNI_p1000_bs32_binary_one_hot,0.6508398508716249,0.03690552271186449,0.6508398508716249,0.03690552271186449,5
TSOnly_Fusion_Naive_MeanMIL_Midnight_p1000_bs32_original_label_enc,0.635897187276548,0.026631502885468943,0.635897187276548,0.026631502885468943,5
EarlyEnsemble_Fusion_Naive_ABMIL_VirchowMidnight_p4000_bsFull_binary_label_enc,0.6522544136471701,0.05010143703449101,0.6522544136471701,0.05010143703449101,5
Fusion_Smart_TransMIL_Midnight_p1000_bsFull_original_label_enc,0.6700108063044397,0.06068042991695261,0.6700108063044397,0.06068042991695261,5
EarlyEnsemble_Fusion_Smart_MeanMIL_VirchowMidnight_p1000_bs32_binary_one_hot,0.6505663717314102,0.05354197963075196,0.6505663717314102,0.05354197963075196,5
WSI_MeanMIL_Midnight_p1000_bs32_binary_None,0.6396447011572788,0.08594983385140603,0.6396447011572788,0.08594983385140603,5
TSOnly_WSI_ABMIL_UNI_p4000_bsFull_original_None,0.6530785596330713,0.03690220020839005,0.6530785596330713,0.03690220020839005,5
Fusion_Smart_TransMIL_Virchow_p1000_bsFull_binary_label_enc,0.6650424203911648,0.042659425468664,0.6650424203911648,0.042659425468664,5
Fusion_Smart_ABMIL_Virchow_p100_bs32_binary_label_enc,0.6691581061229914,0.05286308983764256,0.6691581061229914,0.05286308983764256,5
LossComp_logistic_hazard_Fusion_Naive_MeanMIL_Midnight_p1000_bs32_original_label_enc,0.626470818941139,0.056446992830104153,0.626470818941139,0.056446992830104153,5
EarlyEnsemble_Fusion_Smart_ABMIL_VirchowMidnight_p100_bsFull_original_one_hot,0.6611129187708024,0.04884399282784545,0.6611129187708024,0.04884399282784545,5
Fusion_Naive_TransMIL_Midnight_p1000_bsFull_binary_one_hot,0.6509855495197915,0.07766835119283517,0.6509855495197915,0.07766835119283517,5
Fusion_Smart_ABMIL_UNI_p100_bs32_original_label_enc,0.6778591197524293,0.04284747382490308,0.6778591197524293,0.04284747382490308,5
WSI_ABMIL_Midnight_p1000_bs32_binary_None,0.6494508738496066,0.08673038276307149,0.6494508738496066,0.08673038276307148,5
Fusion_Naive_TransMIL_Virchow_p1000_bsFull_original_label_enc,0.6330554362512515,0.06040444094530367,0.6330554362512515,0.06040444094530367,5
Fusion_Naive_MeanMIL_UNI_p1000_bs32_binary_label_enc,0.6491558986802477,0.054023561789255506,0.6491558986802477,0.054023561789255506,5
Fusion_Smart_ABMIL_Midnight_p1000_bs32_binary_one_hot,0.6575738023596515,0.06288799739593844,0.6575738023596515,0.06288799739593844,5
Fusion_Smart_MeanMIL_Midnight_p4000_bsFull_binary_one_hot,0.6540612722545587,0.06020893438212916,0.6540612722545587,0.06020893438212916,5
Fusion_Smart_TransMIL_Midnight_p100_bsFull_binary_label_enc,0.6598318256824504,0.07354548245191068,0.6598318256824504,0.07354548245191068,5
